TYPE	MEOH	ACET	BU1	MEPR	ACAL	LNPRO1
KIRSCH	3.0	15.0	0.2	9.0	9.0	5.86
KIRSCH	23.0	13.0	0.8	9.0	2.0	6.67
KIRSCH	65.0	96.0	0.4	9.0	4.0	5.31
KIRSCH	279.0	66.0	0.9	36.0	4.8	5.45
KIRSCH	292.0	210.0	1.1	34.0	8.0	4.08
KIRSCH	371.0	414.0	1.2	39.0	9.0	6.22
KIRSCH	393.0	287.0	1.8	41.0	9.7	6.47
KIRSCH	394.0	217.0	1.0	31.0	8.6	6.31
KIRSCH	418.0	62.0	0.8	24.0	7.0	5.83
KIRSCH	426.0	204.0	1.3	37.0	8.6	6.07
KIRSCH	465.0	267.0	1.5	39.0	17.0	8.01
KIRSCH	469.0	226.0	1.6	35.0	8.0	6.21
KIRSCH	475.0	172.0	1.9	33.0	14.0	6.30
KIRSCH	498.0	343.0	2.3	42.0	21.0	6.59
KIRSCH	507.0	397.0	3.3	30.0	21.0	5.98
KIRSCH	523.0	367.0	2.6	45.0	25.0	6.67
KIRSCH	583.0	226.0	2.3	46.0	11.0	6.49
KIRSCH	632.5	342.3	2.2	38.2	13.3	7.64
MIRAB	595.0	410.0	16.0	24.0	11.4	5.09
MIRAB	630.0	243.0	13.0	13.0	13.0	5.87
MIRAB	707.0	131.0	15.0	28.0	9.0	4.89
MIRAB	748.0	346.0	13.0	28.0	25.0	4.43
MIRAB	771.0	339.0	21.0	50.0	13.0	4.69
MIRAB	798.0	123.0	15.0	30.0	9.6	4.36
MIRAB	842.0	299.0	20.0	27.0	11.0	3.95
MIRAB	847.0	381.0	16.0	44.0	20.0	5.26
MIRAB	883.0	205.0	17.0	32.0	13.0	5.34
MIRAB	885.0	41.0	18.0	34.0	4.7	4.85
MIRAB	887.0	423.0	9.3	36.0	15.0	5.86
MIRAB	903.0	312.0	24.0	24.0	7.0	4.26
MIRAB	917.0	86.0	26.0	21.0	14.0	4.57
MIRAB	961.0	58.0	16.0	59.0	8.3	4.19
MIRAB	965.0	176.0	18.0	43.0	13.0	4.63
MIRAB	1010.0	343.0	19.0	27.0	11.0	3.85
MIRAB	1013.0	116.0	21.0	22.0	10.0	4.11
MIRAB	1026.0	84.0	10.0	72.0	11.0	5.22
MIRAB	1035.0	159.0	21.0	22.0	15.0	4.16
MIRAB	1038.0	396.0	18.0	28.0	11.0	4.11
MIRAB	1041.0	399.0	20.0	37.0	9.6	4.73
MIRAB	1044.0	217.0	18.0	15.0	10.0	4.98
MIRAB	1069.0	112.0	17.0	24.0	8.5	4.23
MIRAB	1073.0	483.0	23.0	16.0	24.0	6.71
MIRAB	1090.0	106.0	18.0	26.0	22.0	4.60
MIRAB	1105.0	495.0	21.0	18.0	12.0	6.40
MIRAB	1110.0	169.0	17.0	22.0	16.0	7.17
MIRAB	1119.0	412.0	20.0	37.0	8.2	4.77
MIRAB	1123.0	109.0	19.0	27.0	8.4	4.33
POIRE	546.0	119.0	12.0	28.0	7.4	3.30
POIRE	620.0	123.0	20.0	26.0	18.0	6.28
POIRE	626.0	149.0	10.0	15.0	7.6	5.31
POIRE	664.0	150.0	14.0	32.0	7.7	3.64
POIRE	810.0	176.0	10.0	58.0	6.0	5.66
POIRE	815.0	147.0	17.0	39.0	15.0	5.87
POIRE	817.0	130.0	8.6	21.0	8.6	5.36
POIRE	898.0	80.0	19.0	29.0	9.5	4.09
POIRE	910.0	214.0	24.0	57.0	13.0	5.92
POIRE	927.0	155.0	10.0	27.0	10.0	4.13
POIRE	938.0	175.0	22.0	48.0	12.0	7.94
POIRE	951.0	153.0	30.0	51.0	14.0	4.54
POIRE	970.0	338.0	15.0	30.0	14.0	5.32
POIRE	1029.0	182.0	20.0	54.0	15.0	5.63
POIRE	1040.0	197.0	18.0	50.0	4.3	4.28
POIRE	1087.0	269.0	16.0	29.0	10.0	6.39
POIRE	1116.0	113.0	30.0	69.0	17.0	4.03
POIRE	1119.0	124.0	19.0	59.0	15.0	7.22
POIRE	1121.0	181.0	16.0	32.0	17.0	3.91
POIRE	1135.0	245.0	18.0	32.0	9.1	6.81
POIRE	1148.0	127.0	30.0	53.0	16.0	4.49
POIRE	1154.0	203.0	15.0	56.0	14.0	3.91
POIRE	1187.0	143.0	30.0	61.0	14.0	4.16
POIRE	1197.0	152.0	30.0	62.0	11.0	4.85
POIRE	1237.0	154.0	30.0	59.0	10.0	5.26
POIRE	1264.0	224.0	20.0	49.0	17.0	6.23
POIRE	1286.0	144.0	30.0	52.0	15.0	4.22
POIRE	1401.0	219.0	20.0	41.0	22.0	4.14
POIRE	1501.0	161.0	19.0	25.0	21.0	6.84
POIRE	1548.0	254.0	16.0	46.0	28.0	4.64
