Tea	How	how	sugar	where	always
black	alone	tea bag	sugar	chain store	Not.always
black	milk	tea bag	No.sugar	chain store	Not.always
Earl Grey	alone	tea bag	No.sugar	chain store	Not.always
Earl Grey	alone	tea bag	sugar	chain store	Not.always
Earl Grey	alone	tea bag	No.sugar	chain store	always
Earl Grey	alone	tea bag	No.sugar	chain store	Not.always
Earl Grey	alone	tea bag	No.sugar	chain store	Not.always
black	milk	tea bag	No.sugar	chain store	Not.always
Earl Grey	milk	tea bag+unpackaged	No.sugar	chain store+tea shop	Not.always
black	alone	tea bag+unpackaged	No.sugar	chain store+tea shop	Not.always
Earl Grey	alone	tea bag	No.sugar	chain store	Not.always
Earl Grey	alone	tea bag	sugar	chain store	Not.always
Earl Grey	milk	tea bag+unpackaged	No.sugar	chain store+tea shop	Not.always
black	milk	tea bag	sugar	chain store	Not.always
black	milk	tea bag	No.sugar	chain store+tea shop	Not.always
Earl Grey	alone	unpackaged	sugar	chain store+tea shop	Not.always
black	alone	tea bag+unpackaged	No.sugar	chain store+tea shop	Not.always
Earl Grey	alone	tea bag	No.sugar	chain store+tea shop	Not.always
black	alone	tea bag	No.sugar	chain store	Not.always
black	alone	tea bag	No.sugar	chain store	Not.always
Earl Grey	lemon	tea bag	No.sugar	chain store+tea shop	Not.always
black	other	tea bag+unpackaged	No.sugar	chain store+tea shop	Not.always
Earl Grey	alone	tea bag	No.sugar	chain store	Not.always
black	alone	tea bag	No.sugar	chain store	Not.always
Earl Grey	alone	unpackaged	No.sugar	chain store+tea shop	always
Earl Grey	milk	tea bag	No.sugar	chain store+tea shop	always
Earl Grey	alone	tea bag	sugar	chain store	Not.always
Earl Grey	alone	tea bag+unpackaged	No.sugar	chain store	Not.always
black	alone	tea bag	No.sugar	chain store	Not.always
Earl Grey	alone	tea bag	sugar	chain store	Not.always
Earl Grey	alone	unpackaged	No.sugar	tea shop	always
Earl Grey	lemon	tea bag+unpackaged	sugar	chain store+tea shop	Not.always
Earl Grey	alone	tea bag+unpackaged	sugar	chain store+tea shop	Not.always
black	alone	tea bag	No.sugar	chain store	Not.always
black	lemon	tea bag+unpackaged	No.sugar	chain store+tea shop	always
Earl Grey	milk	tea bag	sugar	chain store	Not.always
green	alone	tea bag+unpackaged	No.sugar	chain store	Not.always
green	alone	tea bag	No.sugar	chain store	Not.always
Earl Grey	milk	tea bag	No.sugar	chain store+tea shop	always
green	alone	tea bag+unpackaged	No.sugar	chain store+tea shop	Not.always
Earl Grey	alone	tea bag	sugar	chain store	Not.always
green	alone	tea bag	No.sugar	chain store	Not.always
Earl Grey	milk	tea bag	No.sugar	chain store	Not.always
black	other	tea bag	No.sugar	chain store+tea shop	Not.always
